research_group,research_division,people
pure mathematics,mathematical sciences,
applied mathematics,mathematical sciences,
numerical and computational mathematics,mathematical sciences,
statistics,mathematical sciences,
mathematical physics,mathematical sciences,
other mathematical sciences,mathematical sciences,
astronomical and space sciences,physical sciences,
"atomic, molecular, nuclear, particle and plasma physics",physical sciences,
classical physics,physical sciences,
condensed matter physics,physical sciences,
optical physics,physical sciences,
quantum physics,physical sciences,
other physical sciences,chemical sciences,
analytical chemisty,chemical sciences,
inorganic chemistry,chemical sciences,
macromolecular chemisty,chemical sciences,
medicinal and biomolecular chemistry,chemical sciences,
organic chemistry,chemical sciences,
physical chemistry (incl. structural),chemical sciences,
theoretical and computational chemistry,chemical sciences,
other chemical sciecnes,chemical sciences,
atmospheric sciences,earth sciences,
geochemistry,earth sciences,
geology,earth sciences,
geophysics,earth sciences,
oceanography,earth sciences,
physical geography and environmental geoscience,earth sciences,
other earth sciences,earth sciences,
ecological applications,environmental sciences,
environmental science and management,environmental sciences,
soil sciences,environmental sciences,
other environmental sciences,environmental sciences,
biochemistry and cell biology,biological sciences,
ecology,biological sciences,"Kate Giljohann,Michael Strack"
evolutionary biology,biological sciences,
genetics,biological sciences,
microbiology,biological sciences,
physiology,biological sciences,
plant biology,biological sciences,
zoology,biological sciences,
other biological sciences,biological sciences,
"agriculture, land and farm management",agricultural and veterinary sciences,
animal production,agricultural and veterinary sciences,
crop and pasture production,agricultural and veterinary sciences,
fisheries sciences,agricultural and veterinary sciences,
forestry sciences,agricultural and veterinary sciences,
horticultural production,agricultural and veterinary sciences,
veterinary sciences,agricultural and veterinary sciences,
other agricultural and veterinary sciences,agricultural and veterinary sciences,
artificial intelligence and image processing,information and computing sciences,
computation theory and mathematics,information and computing sciences,
computer software,information and computing sciences,
data format,information and computing sciences,
distributed computing,information and computing sciences,
information systems,information and computing sciences,
library and information studies,information and computing sciences,
other information and computing sciences,information and computing sciences,
aerospace engineering,engineering,
automotive engineering,engineering,
biomedical engineering,engineering,
chemical engineering,engineering,
civil engineering,engineering,
electrical and electronic engineering,engineering,
environmental engineering,engineering,
food sciences,engineering,
geomatic engineering,engineering,
manufacturing engineering,engineering,
maritime engineering,engineering,
materials engineering,engineering,
mechanical engineering,engineering,
resources engineering and extractive metallurgy,engineering,
interdisciplinary engineering,engineering,
other engineering,engineering,
agricultural biotechnology,technology,
environmental biotechnology,technology,
industrial biotechnology,technology,
medical biotechnology,technology,
communications technologies,technology,
computer hardware,technology,
nanotechnology,technology,
other technology,technology,
medical biochemistry and metabolomics,medical and health sciences,
cardiorespiratory medicine and haematology,medical and health sciences,
clinical sciences,medical and health sciences,
complementary and alternative medicine,medical and health sciences,
denistry,medical and health sciences,
human movement and sports science,medical and health sciences,
immunology,medical and health sciences,
medical microbiology,medical and health sciences,
neurosciences,medical and health sciences,Michele Veldsman
nursing,medical and health sciences,
nutrition and dietetics,medical and health sciences,
oncology and carcinogenesis,medical and health sciences,Rita Busuttil
ophthalmology and optometry,medical and health sciences,
paediatrics and reproductive medicine,medical and health sciences,
pharmacology and pharmaceutical sciences,medical and health sciences,
medical physiology,medical and health sciences,
public health and health services,medical and health sciences,
other medical and health sciences,medical and health sciences,
architecture,built environment and design,
building,built environment and design,
design practice and management,built environment and design,
engineering design,built environment and design,
urban and regional planning,built environment and design,
other built environment and design,built environment and design,
education systems,education,
curriculum and pedagogy,education,
specialist studies in education,education,
other education,education,
economic theory,economics,
applied economics,economics,
econometrics,economics,
other economics,economics,
"accounting, auditing and accountability","commerce, management, tourism and services",
"banking, finance and investment","commerce, management, tourism and services",
business and management,"commerce, management, tourism and services",
commercial services,"commerce, management, tourism and services",
marketing,"commerce, management, tourism and services",
tourism,"commerce, management, tourism and services",
transportation and freight services,"commerce, management, tourism and services",
"other commerce, management, tourism and services","commerce, management, tourism and services",
anthropology,studies in human society,
criminology,studies in human society,
demography,studies in human society,
human geography,studies in human society,
policy and administration,studies in human society,
political science,studies in human society,
social work,studies in human society,
sociology,studies in human society,
other studies in human society,studies in human society,
psychology,psychology and cognitive sciences,
cognitive sciences,psychology and cognitive sciences,
other psychology and cognitive sciences,psychology and cognitive sciences,
law,law and legal studies,
other law and legal studies,law and legal studies,
art theory and criticism,studies in creative arts and writing,
"film, television and digital media",studies in creative arts and writing,
journalism and professional writing,studies in creative arts and writing,
performing arts and creative writing,studies in creative arts and writing,
visual arts and crafts,studies in creative arts and writing,
other studies in creative arts and writing,studies in creative arts and writing,
communication and media studies,"language, communication and culture",
cultural studies,"language, communication and culture",
language studies,"language, communication and culture",
linguistics,"language, communication and culture",
literary studies,"language, communication and culture",
"other language, communication and culture","language, communication and culture",
archaeology,history and archaeology,
curatorial and related studies,history and archaeology,
historical studies,history and archaeology,
other history and archaeology,history and archaeology,
applied ethics,philosophy and religious studies,
history and philosophy of specific fields,philosophy and religious studies,
philosophy,philosophy and religious studies,
religion and religious studies,philosophy and religious studies,
other philosophy and religious studies,philosophy and religious studies,
