Tool	Scope	Purpose	Cost	Source Code	User Interface	Usage	Base / environment	Website
Microsoft Access	general	databases	pay	closed	graphical	analysis		
MySQL	general	databases	free		command line	analysis		
SQLite	general	databases	free		command line	analysis		
IRAF	discipline specific	astronomy	free	closed	command line	analysis and visualisation		http://iraf.noao.edu/
S2PLOT	discipline specific	astronomy	free	open	command line	visualisation	C / C++; Javascript	http://astronomy.swin.edu.au/s2plot/index.php?title=S2PLOT
Sextractor	discipline specific	astronomy	free	closed	command line	analysis and visualisation		https://www.astromatic.net/software/sextractor
Swarp	discipline specific	astronomy	free	closed	command line	analysis and visualisation		https://www.astromatic.net/software/swarp
TOPCAT	discipline specific	astronomy	free	open	graphical	analysis		http://www.star.bris.ac.uk/~mbt/topcat/
Bioconductor	discipline specific	bioinformatics	free	open	command line	analysis and visualisation	R	https://www.bioconductor.org/
Quantity One	discipline specific	biological image processing	free	closed	graphical	visualisation		http://www.bio-rad.com/en-au/product/quantity-one-1-d-analysis-software
Aspen Plus	discipline specific	chemistry	pay	closed	graphical	analysis and visualisation		http://www.aspentech.com/products/engineering/aspen-plus/
Autodock	discipline specific	chemistry	free	open	graphical	visualisation		http://autodock.scripps.edu/
ChemOffice	discipline specific	chemistry	pay	closed	graphical	visualisation		http://www.cambridgesoft.com/Ensemble_for_Chemistry/ChemOffice/ChemOfficeProfessional/Default.aspx
DS Visualizer	discipline specific	chemistry	free	closed	graphical	visualisation		http://www.marcsaric.de/index.php/DS_Visualizer
FINDSYM	discipline specific	chemistry	free	closed	website	visualisation		http://stokes.byu.edu/iso/findsym.php
GDIS	discipline specific	chemistry	free	open	graphical	visualisation		http://gdis.sourceforge.net/
Jmol	discipline specific	chemistry	free	open	graphical	visualisation		http://jmol.sourceforge.net/
moldraw	discipline specific	chemistry	free	closed	graphical	visualisation		http://moldraw.software.informer.com/
OpenEye toolkit	discipline specific	chemistry	free	open	command line	analysis	Python	https://docs.eyesopen.com/toolkits/python/index.html
RDKit	discipline specific	chemistry	free	open	command line	analysis	Python; C / C++	http://www.rdkit.org/
CDO	discipline specific	climate	free	closed	command line	analysis	Unix Shell	https://code.mpimet.mpg.de/projects/cdo
iris	discipline specific	climate	free	open	command line	analysis and visualisation	Python	http://scitools.org.uk/iris/
NCL	discipline specific	climate	free	closed	command line	analysis and visualisation	Unix Shell	http://www.ncl.ucar.edu/
Arlequin	discipline specific	genomics	free	closed	graphical and command line	analysis	Unix Shell; R; stand alone	http://cmpg.unibe.ch/software/arlequin35/
Artemis	discipline specific	genomics	free	closed	graphical	visualisation		http://www.sanger.ac.uk/science/tools/artemis
Bayescan	discipline specific	genomics	free	open	graphical and command line	analysis and visualisation	Unix Shell	cmpg.unibe.ch/software/BayeScan/
BRIG	discipline specific	genomics	free	closed	graphical	visualisation		http://brig.sourceforge.net/
Contiguity	discipline specific	genomics	free	open	graphical	visualisation		http://mjsull.github.io/Contiguity/
Easyfig	discipline specific	genomics	free	open	graphical	visualisation	stand alone; Python	http://mjsull.github.io/Easyfig/
FASTLINK	discipline specific	genomics	free	closed	command line	analysis	Unix Shell	https://www.ncbi.nlm.nih.gov/CBBresearch/Schaffer/fastlink.html
GeneHunter	discipline specific	genomics	pay	closed	graphical	analysis		http://www.wardsystems.com/genehunter.asp
GeneMapper	discipline specific	genomics	pay	closed	graphical	analysis and visualisation		https://www.thermofisher.com/order/catalog/product/4475073
IGV	discipline specific	genomics	free	closed	graphical	visualisation		http://software.broadinstitute.org/software/igv/
Ikaros	discipline specific	genomics	pay	closed	graphical	visualisation		https://metasystems-international.com/en/products/ikaros/
Karyostudio	discipline specific	genomics	pay	closed	graphical	analysis and visualisation		https://support.illumina.com/array/array_software/karyostudio.html
Mauve	discipline specific	genomics	free	open	graphical	analysis and visualisation		http://darlinglab.org/mauve/mauve.html
Partek	discipline specific	genomics	pay	closed	graphical	analysis and visualisation		http://www.partek.com/
PGD Spider	discipline specific	genomics	free	closed	graphical	analysis		http://www.cmpg.unibe.ch/software/PGDSpider/
plink	discipline specific	genomics	free	open	command line	analysis	Unix Shell	http://zzz.bwh.harvard.edu/plink/
Structure	discipline specific	genomics	free	open	graphical and command line	analysis and visualisation	stand alone; Unix Shell	http://web.stanford.edu/group/pritchardlab/structure.html
VMD	discipline specific	genomics	free	closed	graphical	visualisation		http://www.ks.uiuc.edu/Research/vmd/
ENVI	discipline specific	geographic image processing	pay	closed	graphical	analysis and visualisation	stand alone; ArcGIS	https://esriaustralia.com.au/envi
LAStools	discipline specific	geographic image processing	pay	closed	graphical and command line	analysis and visualisation		https://rapidlasso.com/LAStools/
ANTs	discipline specific	medical image processing	free	open	graphical	analysis and visualisation		http://stnava.github.io/ANTs/
Brain Voyager	discipline specific	medical image processing	pay	closed	graphical	analysis and visualisation		http://www.brainvoyager.com/index.html
BrainNet	discipline specific	medical image processing	free	open	graphical	visualisation	stand alone; MATLAB	https://www.nitrc.org/projects/bnv/
CONN	discipline specific	medical image processing	free	closed	graphical and command line	analysis and visualisation	MATLAB	https://www.nitrc.org/projects/conn/
EdgeTrak	discipline specific	medical image processing	free	closed	graphical	visualisation		https://www.dental.umaryland.edu/speech/software/
Freesurfer	discipline specific	medical image processing	free	open	graphical	analysis and visualisation		https://surfer.nmr.mgh.harvard.edu/
FSL	discipline specific	medical image processing	free	closed	graphical and command line	analysis and visualisation	stand alone; Unix Shell	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki
ImageJ	discipline specific	medical image processing	free	open	graphical	analysis and visualisation		https://imagej.net/Welcome
iso2mesh	discipline specific	medical image processing	free	open	graphical and command line	visualisation	MATLAB	http://iso2mesh.sourceforge.net/cgi-bin/index.cgi
itk-SNAP	discipline specific	medical image processing	free	closed	graphical	analysis and visualisation		http://www.itksnap.org/pmwiki/pmwiki.php
MRIcroGL	discipline specific	medical image processing	free	closed	graphical and command line	visualisation		http://www.mccauslandcenter.sc.edu/mricrogl/home
MRIcron	discipline specific	medical image processing	free	open	graphical	analysis and visualisation		https://www.nitrc.org/projects/mricron
MRtrix3	discipline specific	medical image processing	free	open	graphical	analysis and visualisation		http://www.mrtrix.org/
REST	discipline specific	medical image processing	free	closed	graphical and command line	analysis and visualisation	MATLAB	http://restfmri.net/forum/RESTplusV1.2
SPM	discipline specific	medical image processing	free	closed	graphical and command line	analysis	MATLAB	http://www.fil.ion.ucl.ac.uk/spm/
morpho-tools.net	discipline specific	morphometrics	free	open	graphical and command line	analysis and visualisation	Mathmatica	http://www.morpho-tools.net/index.html
ATK	discipline specific	nanoelectronics	pay	closed	graphical and command line	analysis and visualisation		http://quantumwise.com/products/atk
emuR	discipline specific	phonetics	free	open	command line	analysis	R	http://ips-lmu.github.io/EMU.html
Praat	discipline specific	phonetics	free	open	graphical	analysis and visualisation		http://www.fon.hum.uva.nl/praat/
Beast2	discipline specific	phylogenetics	free	open	graphical	analysis and visualisation	stand alone; Unix Shell	https://www.beast2.org/
EvolView	discipline specific	phylogenetics	free	open	website	visualisation		https://evolview.codeplex.com/
TNT	discipline specific	phylogenetics	free	closed	graphical	analysis and visualisation		http://www.lillo.org.ar/phylogeny/tnt/
BioEdit	discipline specific	protein sequencing	free	closed	graphical	visualisation		http://www.mbio.ncsu.edu/BioEdit/bioedit.html
BLAST	discipline specific	protein sequencing	free	closed	graphical and command line	analysis and visualisation	Unix Shell	https://blast.ncbi.nlm.nih.gov/Blast.cgi
Clustal	discipline specific	protein sequencing	free	closed	graphical and command line	analysis		http://www.clustal.org/
HMMER	discipline specific	protein sequencing	free	closed	command line	analysis		http://hmmer.org/
MEGA	discipline specific	protein sequencing	free	closed	graphical and command line	analysis	Unix Shell; stand alone	http://www.megasoftware.net/
Mutalin	discipline specific	protein sequencing	free	closed	website	analysis and visualisation		http://multalin.toulouse.inra.fr/multalin/
ePrime	discipline specific	psychology	pay	closed	graphical and command line	collection and analysis and visualisation		https://www.pstnet.com/eprime.cfm
PanelWhiz	discipline specific	social sciences	pay	closed	graphical	analysis	Stata	http://www.panelwhiz.eu/
ArcGIS	discipline specific	spatial	pay	closed	graphical	visualisation		https://www.arcgis.com/features/index.html
ArcMap	discipline specific	spatial	pay	closed	graphical	visualisation	ArcGIS	http://desktop.arcgis.com/en/arcmap/
CARTO	discipline specific	spatial	free with advanced pay options	open	graphical	visualisation		https://carto.com/
