Can't find:,"Cluster, FlowLogic, TreeView (Sharon Pattison)"
Notes:,Someone calls Illustrator 2D design
Leftovers:,"Time management / invoicing: Moosti, Toggl, Wave (Jacquie Tran)"
,Training planning and prescription: Visual Coaching Pro (Jacquie Tran)
,"Video analysis and game statistics: Dartfish, Ubersense (Jacquie Tran)"
,"Athlete activity tracking: GPSports, Catapult, Polar, SmartSpeed (Jacquie Tran)"
,I didn't include the hydrology models that Melanie Roberts is running
,"Catarina Kordsachia: Psychlab acquisition, Eyelink, EEGLab, ERPLab, SigmaPlot"
,Andrea Rassell: Tobii eye tracking
,
,
,
,
,
,
RAMAS,http://www.ramas.com/linking-gis-with-models
Maxent,http://biodiversityinformatics.amnh.org/open_source/maxent/
Prism,https://www.graphpad.com/scientific-software/prism/
Partek,http://www.partek.com/
Interactive Genomics Viewer,http://software.broadinstitute.org/software/igv/
ImageJ,https://imagej.nih.gov/ij/
GIMP,https://www.gimp.org/
T-REX,http://trex.biohpc.org/
GeneMapper,https://www.thermofisher.com/order/catalog/product/4475073
OneNote,https://www.onenote.com/
OneDrive,https://onedrive.live.com/about/en-au/
Gantt project,http://www.ganttproject.biz/
Asana,https://asana.com/
MRIcron,https://www.nitrc.org/projects/mricron
FSL,https://fsl.fmrib.ox.ac.uk/fsl/fslwiki
mrtrix,http://www.mrtrix.org/
MRIcroGL,http://www.cabiatl.com/mricrogl/
Nvivo,http://www.qsrinternational.com/
Visio,https://products.office.com/en-au/visio/flowchart-software?tab=tabs-1
Stata,http://www.stata.com/
Leica Application Suite,http://www.leica-microsystems.com/products/microscope-software/details/product/leica-las-x-ls/
Inquisit,http://www.scienceplus.com/inquisit
Climate Data Operators,https://code.zmaw.de/projects/cdo
netCDF operators,http://nco.sourceforge.net/
PGD Spider,http://www.cmpg.unibe.ch/software/PGDSpider/
Arlequin,http://cmpg.unibe.ch/software/arlequin35/
MEGA,http://www.megasoftware.net/
Structure,http://web.stanford.edu/group/pritchardlab/structure.html
Beast2,https://www.beast2.org/
Bayescan,http://cmpg.unibe.ch/software/BayeScan/
SDS 2.3,https://www.thermofisher.com/au/en/home/technical-resources/software-downloads/applied-biosystems-7900ht-fast-real-timespcr-system.html
BLAST,https://blast.ncbi.nlm.nih.gov/Blast.cgi
Multalin,http://multalin.toulouse.inra.fr/multalin/
SketchUp,http://www.sketchup.com/
SAS/STAT,https://www.sas.com/en_au/software/analytics/stat.html
Praat,http://www.fon.hum.uva.nl/praat/
Emu speech database system,http://ips-lmu.github.io/EMU.html
EdgeTrak,https://www.dental.umaryland.edu/speech/software/
Diogenes,https://community.dur.ac.uk/p.j.heslin/Software/Diogenes/
Abaqus,https://academy.3ds.com/en/software/abaqus-student-edition
Simpleware,https://www.simpleware.com/
Zonation,http://conservationcorridor.org/corridor-toolbox/programs-and-tools/zonation/
Netica,https://www.norsys.com/
Hazel,https://www.noodlesoft.com/
Alfred,https://www.alfredapp.com/
Mauve,http://darlinglab.org/mauve/mauve.html
Evolview,http://www.evolgenius.info/evolview/#login
BRIG,http://brig.sourceforge.net/
Artemis,http://www.sanger.ac.uk/science/tools/artemis
Contiguity,http://mjsull.github.io/Contiguity/
Hnadle,http://www.handle.com/
Atomistix Toolkit,http://quantumwise.com/products/atk
SAGA,http://www.saga-gis.org/en/index.html
Netlogo,https://ccl.northwestern.edu/netlogo/
LAStools,https://rapidlasso.com/lastools/
latent gold,http://www.statisticalinnovations.com/latent-gold-5-1/
freesurfer,https://surfer.nmr.mgh.harvard.edu/
PLINK,http://zzz.bwh.harvard.edu/plink/
genehunter,http://www.wardsystems.com/genehunter.asp
fast-link,https://www.ncbi.nlm.nih.gov/CBBresearch/Schaffer/fastlink.html
RedCAP,https://www.project-redcap.org/
Stradwin,http://mi.eng.cam.ac.uk/~rwp/stradwin/
CMISS,http://www.cmiss.org/
Mimics,http://www.materialise.com/en/medical/software/mimics
Origin,http://www.originlab.com/Origin
Chem Office,http://www.cambridgesoft.com/Ensemble_for_Chemistry/ChemOffice/ChemOfficeProfessional/
DS visualizer,http://www.marcsaric.de/index.php/DS_Visualizer
Aspen Plus,http://www.aspentech.com/products/engineering/aspen-plus/
Med PC,http://www.med-associates.com/product/med-pc-iv-software/
Brain Voyager,http://www.brainvoyager.com/
itk-snap,http://www.itksnap.org/pmwiki/pmwiki.php
ANTS,http://picsl.upenn.edu/software/ants/
Processing,https://processing.org/
Clojure,https://clojure.org/
Carneades Argumentation,https://carneades.github.io/
OmniGraffle,https://www.omnigroup.com/omnigraffle
Presentation,https://www.neurobs.com/menu_presentation/menu_features/features_overview
Quadrant,https://my.cqu.edu.au/web/eresearch/quadrant
Leximancer,https://info.leximancer.com/
SigmaStat,https://systatsoftware.com/products/sigmastat/
Quantity one,http://www.bio-rad.com/en-au/product/quantity-one-1-d-analysis-software
JMP,https://www.jmp.com/en_us/offers/free-trial.html?utm_source=google&utm_medium=cpc&utm_campaign=td70114000002KZJq&utm_term=%7Bkeyword%7D&utm_content=US-TRIAL-BRAND
PRIMER,http://www.primer-e.com/primer.htm
Igor Pro,https://www.wavemetrics.com/products/igorpro/igorpro.htm
VMD,http://www.ks.uiuc.edu/Research/vmd/
Geomagic studio,http://support1.geomagic.com/Support/5605/5668/en-US/Article/Folder/336/Geomagic-Studio
Geomagic qualify ,http://www.geomagic.com/en/community/videos/geomagic-qualify-2013-scan-to-cad-comparison/
TNT,http://www.zmuc.dk/public/phylogeny/tnt/
