Tool,Category,Sub-Category,Sub-Sub-Category,Website
Molsoft ICM-Browser,"3D design, simulation and visualisation",molecular visualisation,,https://www.molsoft.com/icm_browser.html
PyMOL,"3D design, simulation and visualisation",molecular visualisation,,https://www.pymol.org/
Abaqus,"3D design, simulation and visualisation",,,
AutoCAD,"3D design, simulation and visualisation",,,
Autodesk Inventor,"3D design, simulation and visualisation",,,
Blender,"3D design, simulation and visualisation",,,
FreeCAD,"3D design, simulation and visualisation",,,
Geomagic Qualify,"3D design, simulation and visualisation",,,
Geomagic studio,"3D design, simulation and visualisation",,,
Meshmixer,"3D design, simulation and visualisation",,,
Mimics / 3-matic,"3D design, simulation and visualisation",,,
OpenSCAD,"3D design, simulation and visualisation",,,
REVIT,"3D design, simulation and visualisation",,,
Rhino,"3D design, simulation and visualisation",,,
Simpleware,"3D design, simulation and visualisation",,,
SketchUp,"3D design, simulation and visualisation",,,
Solidworks,"3D design, simulation and visualisation",,,
Emacs,code development,editors,,
Kate,code development,editors,,
LiveCode,code development,editors,,
Nedit,code development,editors,,
Notepad++,code development,editors,,
Sublime,code development,editors,,
TextWrangler,code development,editors,,
Vim,code development,editors,,
IDLE,code development,interactive development environments,,https://docs.python.org/3/library/idle.html
Jupyter notebook,code development,interactive development environments,,
RStudio,code development,interactive development environments,,
Spyder,code development,interactive development environments,,
Audacity,data collection,audio editing/transcribing,,
Express Scribe,data collection,audio editing/transcribing,,
Inquisit,data collection,surveys,psychological testing,https://www.scienceplus.com/inquisit
Google Forms,data collection,surveys,,
Limesurvey,data collection,surveys,,
Quadrant,data collection,surveys,,
Qualtrics,data collection,surveys,,
REDCap,data collection,surveys,,
Survey Monkey,data collection,surveys,,
Adobe After Effects,data collection,video editing,,
Adobe Premier,data collection,video editing,,
CamStudio,data collection,video editing,,
iMovie,data collection,video editing,,
MPEG streamclip,data collection,video editing,,
PowerDirector,data collection,video editing,,
Stop Motion Studio,data collection,video editing,,
VLC,data collection,video editing,,
WIPster,data collection,video editing,,
MS SyncToy,file management,backup,,
Time machine,file management,backup,,
Hazel,file management,organisation,,https://www.noodlesoft.com/
Alfred,file management,search,,https://www.alfredapp.com/
Backblaze,file management,stoage/sharing,,
Dropbox,file management,stoage/sharing,,
Gcloud,file management,stoage/sharing,,
Google Drive,file management,stoage/sharing,,
OneDrive,file management,stoage/sharing,,
SpiderOak,file management,stoage/sharing,,
WeTransfer,file management,stoage/sharing,,
Sourcetree,file management,version control,client,
TortoiseGit,file management,version control,client,
Tower,file management,version control,client,
Bitbucket,file management,version control,hosting,
GitHub,file management,version control,hosting,
Git,file management,version control,software,
Mercurial,file management,version control,software,
Subversion,file management,version control,software,
CmapTools,information management,concept/mind mapping,,
FreeMind,information management,concept/mind mapping,,http://freemind.sourceforge.net/wiki/index.php/Main_Page
MindMup,information management,concept/mind mapping,,
Xmind,information management,concept/mind mapping,,
Trismegistos,Information management,finding data,,http://www.trismegistos.org/
Trove,Information management,finding data,,http://trove.nla.gov.au/
Audio Memos,information management,note taking,,
Byword,information management,note taking,,
DayOne,information management,note taking,,
Dragon Speech Recognition,information management,note taking,,
Evernote,information management,note taking,,
GoodNotes,information management,note taking,,
OneNote,information management,note taking,,
Simplenote,information management,note taking,,
Feedly,information management,online information,,
Padlet,information management,online information,,
Adobe Acrobat,information management,pdf reading/annotation,,
GoodReader,information management,pdf reading/annotation,,
Master PDF Editor,information management,pdf reading/annotation,,
Skim,information management,pdf reading/annotation,,
Asana,information management,project management,,
Gantt project,information management,project management,,
Gantter,information management,project management,,
Trello,information management,project management,,
Wunderlist,information management,project management,,
BibDesk,information management,reference management,,
Bibtex,information management,reference management,,
citethisforme.com,information management,reference management,,
EndNote,information management,reference management,,
Jabref,information management,reference management,,
Mendeley,information management,reference management,,
Papers,information management,reference management,,
Qiqqa,information management,reference management,,
ReadCube,information management,reference management,,
RefWorks,information management,reference management,,
Zotero,Information management,reference management,,
Eggscellent,information management,time management,,
Handle,information management,time management,,
Rescue time,information management,time management,,
Time Out,information management,time management,,
Tomighty,information management,time management,,
LyX,research presentation,document editing,latex editor,
TeXMaker,research presentation,document editing,latex editor,
TEXnicCenter,research presentation,document editing,latex editor,
TeXPad,research presentation,document editing,latex editor,
TeXShop,research presentation,document editing,latex editor,
TeXWorks,research presentation,document editing,latex editor,
WinEdt,research presentation,document editing,latex editor,
Marked2,research presentation,document editing,markdown editor,
MultiMarkdown,research presentation,document editing,markdown editor,
R Markdown,research presentation,document editing,markdown editor,
Adobe PDF,research presentation,document editing,,
Authorea,research presentation,document editing,,
Foxit PDF,research presentation,document editing,,
Google Docs,research presentation,document editing,,
LaTeX,research presentation,document editing,,
Markdown,research presentation,document editing,,
OpenOffice Writer,research presentation,document editing,,
Pages,research presentation,document editing,,
Scrivener,research presentation,document editing,,
Word,research presentation,document editing,,
GIMP,research presentation,graphics editing,editing software,
Illustrator,research presentation,graphics editing,editing software,
Inkscape,research presentation,graphics editing,editing software,
IrfanView,research presentation,graphics editing,editing software,
Painbrush,research presentation,graphics editing,editing software,
Paint.NET,research presentation,graphics editing,editing software,
Photoshop,research presentation,graphics editing,editing software,
Pixelmator,research presentation,graphics editing,editing software,
SigmaScan,research presentation,graphics editing,editing software,http://www.sigmaplot.co.uk/products/sigmascan/sigmascan.php
Adobe Kuler,research presentation,graphics editing,icons/colors/simple graphic creation,
Noun Project,research presentation,graphics editing,icons/colors/simple graphic creation,https://thenounproject.com/
Omnigaffle,research presentation,graphics editing,icons/colors/simple graphic creation,https://www.omnigroup.com/omnigraffle
Piktochart,research presentation,graphics editing,icons/colors/simple graphic creation,
Beamer,research presentation,slides,,
Google Slides,research presentation,slides,,
Haiku Deck,research presentation,slides,,
HTML,research presentation,slides,,
InDesign,research presentation,slides,,
Keynote,research presentation,slides,,
LaTeX Powerdot,research presentation,slides,,
Open Office Impress Presentation,research presentation,slides,,
PowerPoint,research presentation,slides,,
Prezi,research presentation,slides,,
R presentations,research presentation,slides,,
Slidify,research presentation,slides,,
